tid	branch_code	branch_name	line	station_name
F638C63801AA82	001	台北捷運據點	環狀線	新北產業園區站
F638C3E505D058	001	台北捷運據點	環狀線	幸福站
F638C3CB05B54A	001	台北捷運據點	環狀線	板橋站
F7D4C6240F2D20	001	台北捷運據點	環狀線	中原站
F638C39205D81F	001	台北捷運據點	環狀線	中和站
F638C3C80C2AC3	001	台北捷運據點	環狀線	十四張站
F7D4C52312B45B	001	台北捷運據點	松山新店線	松山站
F7D4C41212D4F7	001	台北捷運據點	松山新店線	南京三民站
F7D4C45C1650DB	001	台北捷運據點	松山新店線	台北小巨蛋站
F7D4C59D12B5D8	001	台北捷運據點	松山新店線	南京復興站
F7D4C6240F2DD2	001	台北捷運據點	松山新店線	北門站
F7D4C384125118	001	台北捷運據點	松山新店線	古亭站
F7D4C3DA12A3A9	001	台北捷運據點	松山新店線	台電大樓站
F7D4C38C128657	001	台北捷運據點	松山新店線	公館站
F7D4C3D7144229	001	台北捷運據點	松山新店線	萬隆站
F7D4C594122F68	001	台北捷運據點	松山新店線	景美站
F7D4C52312B45A	001	台北捷運據點	松山新店線	大坪林站
F638C3840C561D	001	台北捷運據點	松山新店線	七張站
F7D4C3C81216B5	001	台北捷運據點	松山新店線	新店站
F638C39205D81C	001	台北捷運據點	中和新蘆線	蘆洲站
F7D4C3F716C4CA	001	台北捷運據點	中和新蘆線	三民高中站
F7D4C630123253	001	台北捷運據點	中和新蘆線	徐匯中學站
F7D4C3B4116D80	001	台北捷運據點	中和新蘆線	三和國中站
F7D4C3F716C4CC	001	台北捷運據點	中和新蘆線	迴龍站
F7D4C3F416BCD5	001	台北捷運據點	中和新蘆線	菜寮站
F7D4C492120253	001	台北捷運據點	中和新蘆線	三重國小站
F7D4C4A21670DE	001	台北捷運據點	中和新蘆線	大橋頭站
F7D4C3B4116D81	001	台北捷運據點	中和新蘆線	新莊站
F7D4C594122F69	001	台北捷運據點	中和新蘆線	台北橋站
F7D4C630123254	001	台北捷運據點	中和新蘆線	中山國小站
F7D4C384125119	001	台北捷運據點	中和新蘆線	行天宮站
F7D4C6240F2DD0	001	台北捷運據點	中和新蘆線	松江南京站
F638C3B40B65E1	001	台北捷運據點	中和新蘆線	頂溪站
F7D4C492120255	001	台北捷運據點	中和新蘆線	永安市場站
F638C56F0B2313	001	台北捷運據點	中和新蘆線	景安站
F638C5390CABA0	001	台北捷運據點	中和新蘆線	南勢角站
F7D4C56F112E44	001	台北捷運據點	文湖線	科技大樓站
F7D4C473169749	001	台北捷運據點	文湖線	西湖站
F7D4C50F16F155	001	台北捷運據點	板南線	南港站
F7D4C52312B45C	001	台北捷運據點	板南線	南港展覽館站
F7D4C3DA12A3A7	001	台北捷運據點	板南線	後山埤站
F7D4C5391249AD	001	台北捷運據點	板南線	永春站
F638C3AB05CB05	001	台北捷運據點	板南線	市政府站
F7D4C3DA12A3AA	001	台北捷運據點	板南線	國父紀念館站
F7D4C6240F2DD1	001	台北捷運據點	板南線	忠孝復興站
F7D4C53512A9A0	001	台北捷運據點	板南線	忠孝新生站
F638C5930260D9	001	台北捷運據點	板南線	台北車站
F7D4C41212D4F8	001	台北捷運據點	板南線	龍山寺站
F7D4C41212D4FA	001	台北捷運據點	板南線	江子翠站
F638C38C0C5451	001	台北捷運據點	板南線	新埔站
F638C56F0B2314	001	台北捷運據點	板南線	板橋站
F638C3C405B6D2	001	台北捷運據點	板南線	府中站
F7D4C41212D4F9	001	台北捷運據點	板南線	亞東醫院站
F638C38005BF2E	001	台北捷運據點	板南線	海山站
F7D4C50F16F035	001	台北捷運據點	板南線	土城站
F7D4C594122F67	001	台北捷運據點	板南線	永寧站
F7D4C469168A57	001	台北捷運據點	板南線	頂埔站
F7D4C56F112E3D	001	台北捷運據點	淡水信義線	淡水站
F7D4C4A516D2EC	001	台北捷運據點	淡水信義線	石牌站
F638C3DA0C957D	001	台北捷運據點	淡水信義線	北投站
F7D4C45C164FBA	001	台北捷運據點	淡水信義線	士林站
F7D4C3D7144228	001	台北捷運據點	淡水信義線	劍潭站
F638C61D01B3CB	001	台北捷運據點	淡水信義線	圓山站
F7D4C469168B78	001	台北捷運據點	淡水信義線	民權西路站
F7D4C4A2166FC0	001	台北捷運據點	淡水信義線	雙連站
F638C39405D3A4	001	台北捷運據點	淡水信義線	中山站
F7D4C424167BFD	001	台北捷運據點	淡水信義線	台大醫院站
F7D4C47316974B	001	台北捷運據點	淡水信義線	大安森林公園站
F7D4C4A21670E1	001	台北捷運據點	淡水信義線	信義安和站
F7D4C4A516D2EE	001	台北捷運據點	淡水信義線	大安站
F7D4C47316974C	001	台北捷運據點	淡水信義線	象山站
F7D4C52312B459	002	高雄捷運據點	紅線	楠梓科技園區站
F7D4C59D12B5D7	002	高雄捷運據點	紅線	生態園區站
F7D4C3B4116D82	002	高雄捷運據點	紅線	巨蛋站
F7D4C59D12B5D6	002	高雄捷運據點	紅線	凹子底站
F7D4C5391249AE	002	高雄捷運據點	紅線	後驛站
F7D4C5391249AF	002	高雄捷運據點	紅線	中央公園站
F7D4C55712A1F8	002	高雄捷運據點	紅線	三多商圈站
F7D4C492120254	002	高雄捷運據點	紅線	獅甲站
F7D4C55712A1FA	002	高雄捷運據點	紅線	凱旋站
F7D4C3C81216B3	002	高雄捷運據點	紅線	小港站
F638C55001AE22	003	門市據點	門市	內湖旗艦店
F638C3E205B6E8	003	門市據點	門市	屏東仁愛店
F7D4C6240F2D1F	003	門市據點	門市	台中崇德店
F638C5390CABA2	003	門市據點	門市	桃園中正店
F638C3E205B6E6	003	門市據點	門市	台北西門店
